interval_id,candidate_id,parent_v1_candidate_id,trigger_time,trigger_epoch_s,coincidence_score,v1_interval_null_threshold,strong_block_characteristic_ratio,strong_block_count,usable_block_count,total_registered_block_count,strong_block_fraction_of_registered,minimum_required_strong_block_count,v1_score_rank_within_interval,candidate_generation_label,network_candidate_time_fields_read,catalog_event_time_fields_read,family_label_fields_read,family_assignment
heldout_04,das_v2_heldout_04_0003,das_v1_heldout_04_0019,2024-06-18T12:18:20.316Z,1718713100.3162,2.148252010345459,1.5268930196762085,2.0,5,10,10,0.5,4,4,heldout_DAS_v2_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_04,das_v2_heldout_04_0004,das_v1_heldout_04_0021,2024-06-18T12:18:50.016Z,1718713130.0162,2.003779411315918,1.5268930196762085,2.0,4,10,10,0.4,4,13,heldout_DAS_v2_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_04,das_v2_heldout_04_0005,das_v1_heldout_04_0029,2024-06-18T12:23:06.266Z,1718713386.2662,2.302556037902832,1.5268930196762085,2.0,4,10,10,0.4,4,2,heldout_DAS_v2_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_04,das_v2_heldout_04_0006,das_v1_heldout_04_0030,2024-06-18T12:25:02.266Z,1718713502.2662,2.074012041091919,1.5268930196762085,2.0,4,10,10,0.4,4,9,heldout_DAS_v2_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_04,das_v2_heldout_04_0007,das_v1_heldout_04_0037,2024-06-18T12:27:54.816Z,1718713674.8162,2.007589817047119,1.5268930196762085,2.0,4,10,10,0.4,4,12,heldout_DAS_v2_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_04,das_v2_heldout_04_0008,das_v1_heldout_04_0041,2024-06-18T12:31:38.866Z,1718713898.8662,2.0743460655212402,1.5268930196762085,2.0,5,10,10,0.5,4,8,heldout_DAS_v2_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_04,das_v2_heldout_04_0009,das_v1_heldout_04_0042,2024-06-18T12:33:37.466Z,1718714017.4662,2.235687255859375,1.5268930196762085,2.0,5,10,10,0.5,4,3,heldout_DAS_v2_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_04,das_v2_heldout_04_0010,das_v1_heldout_04_0052,2024-06-18T12:41:57.816Z,1718714517.8162,2.108741283416748,1.5268930196762085,2.0,6,10,10,0.6,4,6,heldout_DAS_v2_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_04,das_v2_heldout_04_0011,das_v1_heldout_04_0058,2024-06-18T12:45:21.366Z,1718714721.3662,2.011129379272461,1.5268930196762085,2.0,4,10,10,0.4,4,11,heldout_DAS_v2_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_04,das_v2_heldout_04_0012,das_v1_heldout_04_0061,2024-06-18T12:48:05.116Z,1718714885.1162,2.1140971183776855,1.5268930196762085,2.0,5,10,10,0.5,4,5,heldout_DAS_v2_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_04,das_v2_heldout_04_0013,das_v1_heldout_04_0066,2024-06-18T12:50:29.666Z,1718715029.6662,2.1067943572998047,1.5268930196762085,2.0,6,10,10,0.6,4,7,heldout_DAS_v2_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
heldout_08,das_v2_heldout_08_0001,das_v1_heldout_08_0023,2025-02-18T07:44:26.737Z,1739864666.7374,4.176882743835449,1.4216015338897705,2.0,10,10,10,1.0,4,1,heldout_DAS_v2_candidate_arrival_not_origin_or_family_truth,0,0,0,not_assigned
