candidate_id,trigger_time,trigger_epoch_s,coincidence_score,threshold,coincidence_block_count,block_support_count_at_declared_ratio,block_characteristic_support_threshold,candidate_generation_label,network_candidate_time_fields_read,catalog_event_time_fields_read,heldout_interval_fields_read,family_assignment
das_generic_dev_0022,2025-01-20T05:09:42.201Z,1737349782.2016,1.4252917766571045,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0023,2025-01-20T05:11:23.501Z,1737349883.5016,1.4410274028778076,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0024,2025-01-20T05:12:07.651Z,1737349927.6516001,1.5363152027130127,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0025,2025-01-20T05:12:25.551Z,1737349945.5516,1.4507098197937012,1.3984489440917969,4,1,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0026,2025-01-20T05:13:31.051Z,1737350011.0516,1.5593388080596924,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0027,2025-01-20T05:13:41.651Z,1737350021.6516001,1.4767944812774658,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0028,2025-01-20T05:14:50.451Z,1737350090.4516,3.339193344116211,1.3984489440917969,4,8,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0029,2025-01-20T05:15:54.151Z,1737350154.1516001,1.4233994483947754,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0030,2025-01-20T05:16:46.501Z,1737350206.5016,1.639209270477295,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0031,2025-01-20T05:16:57.301Z,1737350217.3016,1.4325629472732544,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0032,2025-01-20T05:17:30.351Z,1737350250.3516,1.4093884229660034,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0033,2025-01-20T05:17:48.051Z,1737350268.0516,1.4682419300079346,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0034,2025-01-20T05:18:15.851Z,1737350295.8516,1.5636619329452515,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0035,2025-01-20T05:19:19.351Z,1737350359.3516,1.5830793380737305,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0036,2025-01-20T05:19:31.401Z,1737350371.4016001,1.4032201766967773,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0037,2025-01-20T05:19:50.551Z,1737350390.5516,1.498496413230896,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0038,2025-01-20T05:20:07.051Z,1737350407.0516,1.4410746097564697,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0039,2025-01-20T05:20:42.901Z,1737350442.9016001,1.4342358112335205,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0040,2025-01-20T05:21:35.901Z,1737350495.9016001,1.6674554347991943,1.3984489440917969,4,1,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0041,2025-01-20T05:22:11.601Z,1737350531.6016,1.6057891845703125,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0042,2025-01-20T05:22:56.251Z,1737350576.2516,1.4391505718231201,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0043,2025-01-20T05:24:10.401Z,1737350650.4016001,1.4066944122314453,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0044,2025-01-20T05:24:21.001Z,1737350661.0016,1.5176990032196045,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0045,2025-01-20T05:24:31.001Z,1737350671.0016,4.4272661209106445,1.3984489440917969,4,10,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0046,2025-01-20T05:25:01.951Z,1737350701.9516,1.4259165525436401,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0047,2025-01-20T05:26:32.951Z,1737350792.9516,1.433657169342041,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0048,2025-01-20T05:28:01.101Z,1737350881.1016,1.4549838304519653,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0049,2025-01-20T05:28:12.301Z,1737350892.3016,1.4142827987670898,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0050,2025-01-20T05:29:00.701Z,1737350940.7016,1.461658000946045,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0051,2025-01-20T05:30:54.351Z,1737351054.3516,1.5514159202575684,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0052,2025-01-20T05:33:08.651Z,1737351188.6516001,1.4815542697906494,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0053,2025-01-20T05:33:44.751Z,1737351224.7516,1.453683853149414,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0054,2025-01-20T05:34:34.051Z,1737351274.0516,1.5513205528259277,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0055,2025-01-20T05:35:40.251Z,1737351340.2516,1.423763394355774,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0056,2025-01-20T05:36:47.201Z,1737351407.2016,1.552402138710022,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0057,2025-01-20T05:38:48.901Z,1737351528.9016001,1.4364432096481323,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0058,2025-01-20T05:39:16.351Z,1737351556.3516,1.4062221050262451,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0059,2025-01-20T05:39:55.501Z,1737351595.5016,1.4983519315719604,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0060,2025-01-20T05:40:12.351Z,1737351612.3516,1.4028825759887695,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0061,2025-01-20T05:41:21.401Z,1737351681.4016001,1.439204454421997,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0062,2025-01-20T05:41:55.501Z,1737351715.5016,1.4443957805633545,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0063,2025-01-20T05:42:04.751Z,1737351724.7516,1.4229419231414795,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0064,2025-01-20T05:42:30.751Z,1737351750.7516,1.4818986654281616,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0065,2025-01-20T05:43:24.601Z,1737351804.6016,1.4462940692901611,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
